U2UT Model Training 

Baseline parameters

d_model = 512, num_layers (encoder) = 6,  num_layers (decoder) = 2, d_ff = 1024
n_heads = 4, kernel_size = 31, dropout = 0.1, input_dim = 512, vocab_size = 500,
hidden_size = 512, pos_encoding = True (Self Attention), False (Cross Attention), 
rnn_dim = 512 (LSTM based), Adam optimizer, lr = 1e-4, cross enthropy loss function,
batch_size = 16, shuffle = True, Total epochs = 26; synthesizer = LSTM based

seed = 42; sequence_len = 600; 

Note all others have head set to 4 except otherwise

a - f ---> Ablation studies Part A                                                                                                 g - h ---> Ablation studies Part B
                     a                b                 c                  d                    e                   f                         g                       h
                  joint full                         joint full        joint full           joint full           PE = False     |       with GRU Based           with GRU Based
epochs        MHSA with h = 4    Without FF        MHSA with h = 8     MHSA with h = 2      MHSA with h = 1      without PE             Phoneme Decoder          Phoneme Decoder
                                    h = 4                                                                                                h = 4 (joint)            h = 2 (joint)                                                       
                                                   
TL epoch 13     3.6052              3.5445           3.6838                              3.6226                1.9118                   2.0826                  0.0296             0.0350
TA epoch 13     0.2802              0.2720           0.2439                              0.2704                0.7042                   0.6711                  0.9984             0.9979
VL epoch 13     3.9382              3.8807           4.0280                              3.9565                2.0818                   2.2715                  0.0385             0.0466
VA epoch 13     0.2156              0.2071           0.1828                              0.2044                0.6809                   0.6438                  0.9972             0.9966


TL epoch 14     3.4913             3.4224            3.5731                              3.5312                1.5417                   1.7218                  0.0163             0.0194
TA epoch 14     0.2995             0.2918            0.2627                              0.2848                0.7732                   0.7352                  0.9990             0.9989
VL epoch 14     3.8325             3.7595            3.9190                              3.8791                1.6887                   1.8906                  0.0261             0.0299
VA epoch 14     0.2296             0.2296            0.2031                              0.2133                0.7527                   0.7128                  0.9975             0.9975


TL epoch 15     3.3884             3.3031            3.4649                              3.4518                1.2032                   1.3806                  0.0097             0.0114
TA epoch 15     0.3150             0.3119            0.2863                              0.2980                0.8312                   0.7985                  0.9993             0.9992
VL epoch 15     3.7297             3.6436            3.8084                              3.7960                1.3318                   1.5181                  0.0188             0.0219
VA epoch 15     0.2482             0.2528            0.2208                              0.2319                0.8194                   0.7852                  0.9978             0.9977


TL epoch 16     3.2908             3.1930            3.3608                              3.3771                0.9108                   1.0657                  0.0061             0.0070
TA epoch 16     0.3328             0.3362            0.3080                              0.3118                0.8836                   0.8589                  0.9996             0.9995
VL epoch 16     3.6272             3.5213            3.6981                              3.7177                1.0078                   1.1746                  0.0143             0.0161
VA epoch 16     0.2635             0.2723            0.2483                              0.2350                0.8750                   0.8479                  0.9981             0.9981
 

TL epoch 17     3.1946             3.0804            3.2605                              3.3042                0.6571                   0.7893                  0.0039             0.0045
TA epoch 17     0.3489             0.3589            0.3291                              0.3223                0.9243                   0.9053                  0.9997             0.9997
VL epoch 17     3.5331             3.4074            3.5972                              3.6486                0.7400                   0.8841                  0.0110             0.0124
VA epoch 17     0.2758             0.3055            0.2698                              0.2460                0.9142                   0.8932                  0.9989             0.9989


TL epoch 18     3.1009             2.9736            3.1639                              3.2379                0.4552                   0.5638                  0.0025             0.0030
TA epoch 18     0.3662             0.3870            0.3478                              0.3347                0.9555                   0.9396                  0.9999             0.9998
VL epoch 18     3.4362             3.2994            3.4978                              3.5777                0.5236                   0.6451                  0.0088             0.0099
VA epoch 18     0.2928             0.3312            0.2829                              0.2621                0.9430                   0.9272                  0.9991             0.9991
 

TL epoch 19     3.0030             2.8711            3.0659                              3.1702                0.3053                   0.3919                  0.0017             0.0020
TA epoch 19     0.3846             0.4137            0.3658                              0.3458                0.9730                   0.9621                  0.9999             0.9999
VL epoch 19     3.3298             3.1920            3.3846                              3.5016                0.3617                   0.4591                  0.0075             0.0083
VA epoch 19     0.3178             0.3596            0.3020                              0.2773                0.9620                   0.9501                  0.9994             0.9994


TL epoch 20     2.9071             2.7683            2.9635                              3.1036                0.1994                   0.2632                  0.0012             0.0014
TA epoch 20     0.4041             0.4385            0.3864                              0.3587                0.9837                   0.9770                  0.9999             0.9999
VL epoch 20     3.2321             3.0808            3.2779                              3.4382                0.2433                   0.3143                  0.0065             0.0075
VA epoch 20     0.3368             0.3862            0.3296                              0.2850                0.9744                   0.9679                  0.9994             0.9994


TL epoch 21     2.8118             2.6609            2.8572                              3.0371                0.1283                   0.1707                  0.0008             0.0009
TA epoch 21     0.4239             0.4642            0.4107                              0.3707                0.9908                   0.9867                  1.0000             1.0000
VL epoch 21     3.1403             2.9723            3.1692                              3.3715                0.1639                   0.2127                  0.0066             0.0069
VA epoch 21     0.3524             0.4099            0.3474                              0.2969                0.9873                   0.9786                  0.9994             0.9994


TL epoch 22     2.7205             2.5566            2.8742                              2.9753                0.0823                   0.1090                  0.0005             0.0006
TA epoch 22     0.4429             0.4894            0.4165                              0.3814                0.9948                   0.9929                  1.0000             1.0000
VL epoch 22     3.0377             2.8588            3.0685                              3.3003                0.1049                   0.1373                  0.0059             0.0068
VA epoch 22     0.3705             0.4341            0.3764                              0.3080                0.9931                   0.9903                  0.9994             0.9994


TL epoch 23     2.6187             2.4439            3.0222                              2.9050                0.0518                   0.0688                  0.0004             0.0004
TA epoch 23     0.4627             0.5131            0.3988                              0.3947                0.9969                   0.9958                  1.0000             1.0000
VL epoch 23     2.9360             2.7436            3.1526                              3.2333                0.0687                   0.0888                  0.0061             0.0067
VA epoch 23     0.3936             0.4618            0.3671                              0.3224                0.9953                   0.9942                  0.9994             0.9994


TL epoch 24     2.5252             2.3369            3.1063                              2.8407                0.0329                   0.0433                  0.0003             0.0003
TA epoch 24     0.4807             0.5417            0.3934                              0.4090                0.9984                   0.9977                  1.0000             1.0000
VL epoch 24     2.8341             2.6282            2.9952                              3.1649                0.0460                   0.0576                  0.0056             0.0065
VA epoch 24     0.4119             0.4920            0.4005                              0.3358                0.9966                   0.9965                  0.9995             0.9994


TL epoch 25     2.4321             2.2400            3.0919                              2.7737                0.0213                   0.0276                  0.0002             0.0002
TA epoch 25     0.5009             0.5669            0.3948                              0.4228                0.9989                   0.9987                  1.0000             1.0000
VL epoch 25     2.7401             2.5171            3.0991                              3.0955                0.0342                   0.0410                  0.0060             0.0064
VA epoch 25     0.4344             0.5174            0.3900                              0.3516                0.9973                   0.9970                  0.9994             0.9994


TL epoch 26     2.3419             2.6577            3.2562                              2.7064                0.0140                   0.0180                  0.0002             0.0002
TA epoch 26     0.5201             0.5115            0.3710                              0.4385                0.9992                   0.9990                  1.0000             1.0000
VL epoch 26     2.6466             2.7771            3.4906                              3.0271                0.0251                   0.0303                  0.0059             0.0064
VA epoch 26     0.4513             0.5004            0.3307                              0.3642                0.9977                   0.9975                  0.9994             0.9994






GRU Based phoneme decoder GRU based synthesizer with n = 6 and 2 for encoder and decoder, joint head = 4 (same as AS1 except AS1 with LSTM based synthesizer)















